IndividualID	Gender	Population
NA18579	2	CHB
NA18582	2	CHB
NA18592	2	CHB
NA18593	2	CHB
NA18595	2	CHB
NA18596	2	CHB
NA18597	2	CHB
NA18599	2	CHB
NA18602	2	CHB
NA18603	1	CHB
NA18605	1	CHB
NA18606	1	CHB
NA18608	1	CHB
NA18609	1	CHB
NA18610	2	CHB
NA18611	1	CHB
NA18612	1	CHB
NA18613	1	CHB
NA18614	2	CHB
NA18615	2	CHB
NA18616	2	CHB
NA18617	2	CHB
NA18618	2	CHB
NA18619	2	CHB
NA18620	1	CHB
NA18621	1	CHB
NA18622	1	CHB
NA18623	1	CHB
NA18624	1	CHB
NA18626	2	CHB
NA18627	2	CHB
NA18628	2	CHB
NA18630	2	CHB
NA18631	2	CHB
NA18632	1	CHB
NA18633	1	CHB
NA18634	2	CHB
NA18635	1	CHB
NA18636	1	CHB
NA18637	1	CHB
NA18638	1	CHB
NA18639	1	CHB
NA18640	2	CHB
NA18641	2	CHB
NA18642	2	CHB
NA18643	1	CHB
NA18645	1	CHB
NA18647	1	CHB
NA18740	1	CHB
NA18745	1	CHB
NA18747	1	CHB
NA18748	1	CHB
NA18749	1	CHB
NA18757	1	CHB
NA18853	1	YRI
NA18856	1	YRI
NA18858	2	YRI
NA18861	2	YRI
NA18867	2	YRI
NA18868	1	YRI
NA18870	2	YRI
NA18871	1	YRI
NA18873	2	YRI
NA18874	1	YRI
NA18907	2	YRI
NA18908	1	YRI
NA18909	2	YRI
NA18910	1	YRI
NA18912	2	YRI
NA18916	2	YRI
NA18917	1	YRI
NA18923	1	YRI
NA18924	2	YRI
NA18933	2	YRI
NA18934	1	YRI
NA18939	2	JPT
NA18940	1	JPT
NA18941	2	JPT
NA18942	2	JPT
NA18943	1	JPT
NA18944	1	JPT
NA18945	1	JPT
NA18946	2	JPT
NA18947	2	JPT
NA18948	1	JPT
NA18949	2	JPT
NA18950	2	JPT
NA18951	2	JPT
NA18952	1	JPT
NA18953	1	JPT
NA18954	2	JPT
NA18956	2	JPT
NA18957	2	JPT
NA18959	1	JPT
NA18960	1	JPT
NA18961	1	JPT
NA18962	1	JPT
NA18963	2	JPT
NA18964	2	JPT
NA18965	1	JPT
NA18966	1	JPT
NA18968	2	JPT
NA18971	1	JPT
NA18973	2	JPT
NA18974	1	JPT
NA18975	2	JPT
NA18976	2	JPT
NA18977	1	JPT
NA18978	2	JPT
NA18980	2	JPT
NA18981	2	JPT
NA18982	1	JPT
NA18983	1	JPT
NA18984	1	JPT
NA18985	1	JPT
NA18986	1	JPT
NA18987	2	JPT
NA18988	1	JPT
NA18989	1	JPT
NA18990	1	JPT
NA18992	2	JPT
NA18994	1	JPT
NA18995	1	JPT
NA18998	2	JPT
NA18999	2	JPT
NA19000	1	JPT
NA19002	2	JPT
NA19003	2	JPT
NA19004	1	JPT
NA19005	1	JPT
NA19007	1	JPT
NA19009	1	JPT
NA19010	2	JPT
NA19012	1	JPT
NA19020	1	LWK
NA19028	1	LWK
NA19035	1	LWK
NA19036	2	LWK
NA19038	2	LWK
NA19041	1	LWK
NA19044	1	LWK
NA19046	1	LWK
NA19054	2	JPT
NA19055	1	JPT
NA19056	1	JPT
NA19057	2	JPT
NA19058	1	JPT
NA19059	2	JPT
NA19060	1	JPT
NA19062	1	JPT
NA19063	1	JPT
NA19064	2	JPT
NA19065	2	JPT
NA19066	1	JPT
NA19067	1	JPT
NA19068	1	JPT
NA19070	1	JPT
NA19072	1	JPT
NA19074	2	JPT
NA19075	1	JPT
NA19076	1	JPT
NA19077	2	JPT
NA19078	2	JPT
NA19079	1	JPT
NA19080	2	JPT
NA19081	2	JPT
NA19082	1	JPT
NA19083	1	JPT
NA19084	2	JPT
NA19085	1	JPT
NA19087	2	JPT
NA19088	1	JPT
NA19093	2	YRI
NA19095	2	YRI
NA19096	1	YRI
NA19098	1	YRI
NA19099	2	YRI
NA19102	2	YRI
NA19107	1	YRI
NA19108	2	YRI
NA19113	1	YRI
NA19114	2	YRI
NA19116	2	YRI
NA19117	1	YRI
NA19118	2	YRI
NA19119	1	YRI
NA19121	1	YRI
NA19129	2	YRI
NA19130	1	YRI
NA19131	2	YRI
NA19137	2	YRI
NA19138	1	YRI
NA19146	1	YRI
NA19147	2	YRI
NA19149	2	YRI
NA19150	1	YRI
NA19152	2	YRI
NA19160	1	YRI
NA19171	1	YRI
NA19172	2	YRI
NA19175	1	YRI
NA19185	2	YRI
NA19189	1	YRI
NA19190	2	YRI
NA19197	2	YRI
NA19198	1	YRI
NA19200	1	YRI
NA19204	2	YRI
NA19207	1	YRI
NA19209	2	YRI
NA19213	1	YRI
NA19222	2	YRI
NA19223	1	YRI
NA19225	2	YRI
NA19235	2	YRI
NA19236	1	YRI
NA19247	2	YRI
NA19248	1	YRI
NA19256	1	YRI
NA19257	2	YRI
NA19307	1	LWK
NA19308	1	LWK
NA19309	1	LWK
NA19310	2	LWK
NA19311	1	LWK
NA19312	1	LWK
NA19313	2	LWK
NA19315	2	LWK
NA19316	2	LWK
NA19317	1	LWK
NA19318	1	LWK
NA19319	1	LWK
NA19321	2	LWK
NA19324	2	LWK
NA19327	2	LWK
NA19328	2	LWK
NA19331	1	LWK
NA19332	2	LWK
NA19334	1	LWK
NA19338	2	LWK
NA19346	1	LWK
NA19347	1	LWK
NA19350	1	LWK
NA19351	2	LWK
NA19352	1	LWK
NA19355	2	LWK
NA19359	1	LWK
NA19360	1	LWK
NA19371	1	LWK
NA19372	1	LWK
NA19373	1	LWK
NA19374	1	LWK
NA19375	1	LWK
NA19376	1	LWK
NA19377	2	LWK
NA19379	2	LWK
NA19380	1	LWK
NA19381	2	LWK
NA19382	1	LWK
NA19383	1	LWK
NA19384	1	LWK
NA19385	1	LWK
NA19390	2	LWK
NA19391	2	LWK
NA19393	1	LWK
NA19394	1	LWK
NA19395	2	LWK
NA19396	2	LWK
NA19397	1	LWK
NA19398	2	LWK
NA19399	2	LWK
NA19401	2	LWK
NA19403	2	LWK
NA19404	2	LWK
NA19428	1	LWK
NA19429	1	LWK
NA19430	1	LWK
NA19431	2	LWK
NA19434	2	LWK
NA19435	2	LWK
NA19436	2	LWK
NA19437	2	LWK
NA19438	2	LWK
NA19439	2	LWK
NA19440	2	LWK
NA19443	1	LWK
NA19444	1	LWK
NA19445	2	LWK
NA19446	2	LWK
NA19448	1	LWK
NA19449	2	LWK
NA19451	1	LWK
NA19452	1	LWK
NA19453	1	LWK
NA19455	1	LWK
NA19456	2	LWK
NA19457	2	LWK
NA19461	1	LWK
NA19462	2	LWK
NA19463	2	LWK
NA19466	1	LWK
NA19467	2	LWK
NA19468	2	LWK
NA19469	2	LWK
NA19470	2	LWK
NA19471	2	LWK
NA19472	2	LWK
NA19473	2	LWK
NA19474	2	LWK
NA19625	2	ASW
NA19648	2	MXL
NA19651	2	MXL
NA19652	1	MXL
NA19654	2	MXL
NA19655	1	MXL
NA19657	2	MXL
NA19660	2	MXL
NA19661	1	MXL
NA19663	2	MXL
NA19664	1	MXL
NA19672	2	MXL
NA19675	2	MXL
NA19676	1	MXL
NA19678	2	MXL
NA19679	1	MXL
NA19681	2	MXL
NA19682	1	MXL
NA19684	2	MXL
NA19685	1	MXL
NA19700	1	ASW
NA19701	2	ASW
NA19703	1	ASW
NA19704	2	ASW
NA19707	2	ASW
NA19711	1	ASW
NA19712	2	ASW
NA19713	2	ASW
NA19716	2	MXL
NA19717	1	MXL
NA19719	2	MXL
NA19720	1	MXL
NA19722	2	MXL
NA19723	1	MXL
NA19725	2	MXL
NA19726	1	MXL
NA19728	2	MXL
NA19729	1	MXL
NA19731	2	MXL
NA19732	1	MXL
NA19734	2	MXL
NA19735	1	MXL
NA19737	2	MXL
NA19738	1	MXL
NA19740	2	MXL
NA19741	1	MXL
NA19746	2	MXL
NA19747	1	MXL
NA19749	2	MXL
NA19750	1	MXL
NA19752	2	MXL
NA19753	1	MXL
NA19755	2	MXL
NA19756	1	MXL
NA19758	2	MXL
NA19759	1	MXL
NA19761	2	MXL
NA19762	1	MXL
NA19764	2	MXL
NA19770	2	MXL
NA19771	1	MXL
NA19773	2	MXL
NA19774	1	MXL
NA19776	2	MXL
NA19777	1	MXL
NA19779	2	MXL
NA19780	1	MXL
NA19782	2	MXL
NA19783	1	MXL
