IndividualID	Gender	Population
NA12760	1	CEU
NA12761	2	CEU
NA12762	1	CEU
NA12763	2	CEU
NA12766	1	CEU
NA12767	2	CEU
NA12775	1	CEU
NA12776	2	CEU
NA12777	1	CEU
NA12778	2	CEU
NA12801	1	CEU
NA12802	2	CEU
NA12812	1	CEU
NA12813	2	CEU
NA12814	1	CEU
NA12815	2	CEU
NA12817	1	CEU
NA12818	2	CEU
NA12827	1	CEU
NA12828	2	CEU
NA12829	1	CEU
NA12830	2	CEU
NA12832	2	CEU
NA12842	1	CEU
NA12843	2	CEU
NA12864	1	CEU
NA12865	2	CEU
NA12872	1	CEU
NA12873	2	CEU
NA12874	1	CEU
NA12875	2	CEU
NA12877	1	CEU
NA12878	2	CEU
NA12889	1	CEU
NA12890	2	CEU
NA12891	1	CEU
NA12892	2	CEU
NA18525	2	CHB
NA18526	2	CHB
NA18527	2	CHB
NA18528	2	CHB
NA18530	1	CHB
NA18531	2	CHB
NA18532	2	CHB
NA18533	2	CHB
NA18534	1	CHB
NA18535	2	CHB
NA18536	1	CHB
NA18537	2	CHB
NA18538	2	CHB
NA18539	2	CHB
NA18541	2	CHB
NA18542	2	CHB
NA18543	1	CHB
NA18544	1	CHB
NA18545	2	CHB
NA18546	1	CHB
NA18547	2	CHB
NA18548	1	CHB
NA18549	1	CHB
NA18550	2	CHB
NA18552	2	CHB
NA18553	2	CHB
NA18555	2	CHB
NA18557	1	CHB
NA18558	1	CHB
NA18559	1	CHB
NA18560	2	CHB
NA18561	1	CHB
NA18562	1	CHB
NA18563	1	CHB
NA18564	2	CHB
NA18565	2	CHB
NA18566	2	CHB
NA18567	2	CHB
NA18570	2	CHB
NA18571	2	CHB
NA18572	1	CHB
NA18573	2	CHB
NA18574	2	CHB
NA18576	2	CHB
NA18577	2	CHB
NA18579	2	CHB
NA18582	2	CHB
NA18591	2	CHB
NA18592	2	CHB
NA18593	2	CHB
NA18595	2	CHB
NA18596	2	CHB
NA18597	2	CHB
NA18599	2	CHB
NA18602	2	CHB
NA18603	1	CHB
NA18605	1	CHB
NA18606	1	CHB
NA18608	1	CHB
NA18609	1	CHB
NA18610	2	CHB
NA18611	1	CHB
NA18612	1	CHB
NA18613	1	CHB
NA18614	2	CHB
NA18615	2	CHB
NA18616	2	CHB
NA18617	2	CHB
NA18618	2	CHB
NA18619	2	CHB
NA18620	1	CHB
NA18621	1	CHB
NA18622	1	CHB
NA18623	1	CHB
NA18624	1	CHB
NA18625	2	CHB
NA18626	2	CHB
NA18627	2	CHB
NA18628	2	CHB
NA18629	1	CHB
NA18630	2	CHB
NA18631	2	CHB
NA18632	1	CHB
NA18633	1	CHB
NA18634	2	CHB
NA18635	1	CHB
NA18636	1	CHB
NA18637	1	CHB
NA18638	1	CHB
NA18639	1	CHB
NA18640	2	CHB
NA18641	2	CHB
NA18642	2	CHB
NA18643	1	CHB
NA18644	2	CHB
NA18645	1	CHB
NA18646	2	CHB
NA18647	1	CHB
NA18648	1	CHB
NA18740	1	CHB
NA18745	1	CHB
NA18747	1	CHB
NA18748	1	CHB
NA18749	1	CHB
NA18757	1	CHB
NA18791	1	CHB
NA18794	1	CHB
NA18795	2	CHB
HG00403	1	CHS
HG00404	2	CHS
HG00405	2	CHS
HG00406	1	CHS
HG00407	2	CHS
HG00408	2	CHS
HG00409	1	CHS
HG00410	2	CHS
HG00411	1	CHS
HG00418	1	CHS
HG00419	2	CHS
HG00420	1	CHS
HG00421	1	CHS
HG00422	2	CHS
HG00423	2	CHS
HG00427	1	CHS
HG00428	2	CHS
HG00429	1	CHS
HG00436	1	CHS
HG00437	2	CHS
HG00438	2	CHS
HG00442	1	CHS
HG00443	2	CHS
HG00444	1	CHS
HG00445	1	CHS
HG00446	2	CHS
HG00447	2	CHS
HG00448	1	CHS
HG00449	2	CHS
HG00450	2	CHS
HG00451	1	CHS
HG00452	2	CHS
HG00453	2	CHS
HG00457	1	CHS
HG00458	2	CHS
HG00459	1	CHS
HG00463	1	CHS
HG00464	2	CHS
HG00465	1	CHS
HG00472	1	CHS
HG00473	2	CHS
HG00474	1	CHS
HG00475	1	CHS
HG00476	2	CHS
HG00477	1	CHS
HG00478	1	CHS
HG00479	2	CHS
HG00480	1	CHS
HG00500	1	CHS
HG00501	2	CHS
HG00502	1	CHS
HG00512	1	CHS
HG00513	2	CHS
HG00514	2	CHS
HG00524	1	CHS
HG00525	2	CHS
HG00526	1	CHS
HG00530	1	CHS
HG00531	2	CHS
HG00532	1	CHS
HG00533	1	CHS
HG00534	2	CHS
HG00535	1	CHS
HG00536	1	CHS
HG00537	2	CHS
HG00538	1	CHS
HG00542	1	CHS
HG00543	2	CHS
HG00544	2	CHS
HG00556	1	CHS
HG00557	2	CHS
HG00558	2	CHS
HG00559	1	CHS
HG00560	2	CHS
HG00561	2	CHS
HG00565	1	CHS
HG00566	2	CHS
HG00567	1	CHS
HG00577	1	CHS
HG00578	2	CHS
HG00579	2	CHS
HG00580	1	CHS
HG00581	2	CHS
HG00582	2	CHS
HG00583	1	CHS
HG00584	2	CHS
HG00585	2	CHS
HG00589	1	CHS
HG00590	2	CHS
HG00591	1	CHS
HG00592	1	CHS
HG00593	2	CHS
HG00594	1	CHS
HG00595	1	CHS
HG00596	2	CHS
HG00597	2	CHS
HG00598	1	CHS
HG00599	2	CHS
HG00600	2	CHS
HG00607	1	CHS
HG00608	2	CHS
HG00609	1	CHS
HG00610	1	CHS
HG00611	2	CHS
HG00612	2	CHS
HG00613	1	CHS
HG00614	2	CHS
HG00615	2	CHS
HG00619	1	CHS
HG00620	2	CHS
HG00621	1	CHS
HG00622	1	CHS
HG00623	2	CHS
HG00624	1	CHS
HG00625	1	CHS
HG00626	2	CHS
HG00627	1	CHS
HG00628	1	CHS
HG00629	2	CHS
HG00630	1	CHS
HG00631	1	CHS
HG00632	2	CHS
HG00633	1	CHS
HG00634	1	CHS
HG00635	2	CHS
HG00636	1	CHS
HG00650	1	CHS
HG00651	2	CHS
HG00652	2	CHS
HG00653	1	CHS
HG00654	2	CHS
HG00655	2	CHS
HG00658	1	CHS
HG00662	1	CHS
HG00663	2	CHS
HG00664	1	CHS
HG00671	1	CHS
HG00672	2	CHS
HG00673	1	CHS
HG00674	1	CHS
HG00675	2	CHS
HG00676	1	CHS
HG00683	1	CHS
HG00684	2	CHS
HG00685	1	CHS
HG00689	1	CHS
HG00690	2	CHS
HG00691	1	CHS
HG00692	1	CHS
HG00693	2	CHS
HG00694	1	CHS
HG00698	1	CHS
HG00699	2	CHS
HG00700	2	CHS
HG00656	1	CHS
HG00657	2	CHS
HG00701	1	CHS
HG00702	2	CHS
HG00703	1	CHS
HG00704	1	CHS
HG00705	2	CHS
HG00706	1	CHS
HG00707	1	CHS
HG00708	2	CHS
HG00709	1	CHS
HG00716	1	CHS
HG00717	2	CHS
HG00718	1	CHS
HG00728	1	CHS
HG00729	2	CHS
HG00730	2	CHS
HG01119	2	CLM
HG01121	1	CLM
HG01122	2	CLM
HG01123	2	CLM
HG01112	1	CLM
HG01113	2	CLM
HG01114	2	CLM
HG01124	1	CLM
HG01125	2	CLM
HG01126	1	CLM
HG01130	1	CLM
HG01131	2	CLM
HG01133	1	CLM
HG01134	2	CLM
HG01135	1	CLM
HG01136	1	CLM
HG01137	2	CLM
HG01138	1	CLM
HG01139	1	CLM
HG01140	2	CLM
HG01141	2	CLM
HG01142	1	CLM
HG01148	1	CLM
HG01149	2	CLM
HG01150	2	CLM
HG01250	1	CLM
HG01251	2	CLM
HG01252	1	CLM
HG01253	1	CLM
HG01254	2	CLM
HG01255	1	CLM
HG01256	1	CLM
